CODIGO,FECHA,DIA_SEMANA,INGRESO,SALIDA,HORAS_LABORADAS
3151,2023-01-10,Tuesday,,,FALTA/NO CHECO
3151,2023-01-11,Wednesday,,,FALTA/NO CHECO
3151,2023-01-12,Thursday,,,FALTA/NO CHECO
3151,2023-01-13,Friday,,,FALTA/NO CHECO
3405,2023-01-09,Monday,1900-01-01 09:25:00,,FALTA/NO CHECO
3405,2023-01-10,Tuesday,1900-01-01 09:06:00,,FALTA/NO CHECO
3405,2023-01-11,Wednesday,1900-01-01 09:04:00,,FALTA/NO CHECO
3405,2023-01-12,Thursday,,,FALTA/NO CHECO
3405,2023-01-13,Friday,1900-01-01 09:07:00,,FALTA/NO CHECO
3407,2023-01-09,Monday,1900-01-01 09:42:00,,FALTA/NO CHECO
3407,2023-01-10,Tuesday,1900-01-01 09:29:00,1900-01-01 17:31:00,8.033333333333333
3407,2023-01-11,Wednesday,1900-01-01 09:40:00,1900-01-01 17:39:00,7.983333333333333
3407,2023-01-12,Thursday,1900-01-01 09:38:00,,FALTA/NO CHECO
3407,2023-01-13,Friday,1900-01-01 09:31:00,,FALTA/NO CHECO
3421,2023-01-09,Monday,,,FALTA/NO CHECO
3421,2023-01-10,Tuesday,,,FALTA/NO CHECO
3421,2023-01-11,Wednesday,,,FALTA/NO CHECO
3421,2023-01-12,Thursday,,,FALTA/NO CHECO
3421,2023-01-13,Friday,,,FALTA/NO CHECO
3445,2023-01-09,Monday,,,FALTA/NO CHECO
3445,2023-01-10,Tuesday,,,FALTA/NO CHECO
3445,2023-01-11,Wednesday,,,FALTA/NO CHECO
3445,2023-01-12,Thursday,,,FALTA/NO CHECO
3445,2023-01-13,Friday,,,FALTA/NO CHECO
3454,2023-01-09,Monday,,,FALTA/NO CHECO
3454,2023-01-10,Tuesday,,,FALTA/NO CHECO
3454,2023-01-11,Wednesday,,,FALTA/NO CHECO
3454,2023-01-12,Thursday,,,FALTA/NO CHECO
3454,2023-01-13,Friday,,,FALTA/NO CHECO
3470,2023-01-09,Monday,1900-01-01 09:08:00,1900-01-01 18:55:00,9.783333333333333
3470,2023-01-10,Tuesday,,,FALTA/NO CHECO
3470,2023-01-11,Wednesday,,,FALTA/NO CHECO
3470,2023-01-12,Thursday,,,FALTA/NO CHECO
3470,2023-01-13,Friday,,,FALTA/NO CHECO
3484,2023-01-09,Monday,,,FALTA/NO CHECO
